,ArtistName,YearBorn,YearDied,Age,Born,Died,ArtistOccupation,ArtistWikiLink,Nationality,Education,Known for,Spouse(s),Notable work,Awards,Movement,Native name,Resting place,Pen name,Occupation,Language,Period,Literary movement,Notable works,Notable awards,Spouse,Children,Relatives,Signature,Other names,Alma mater,Website,Parent(s),Style,Honours,Partner(s),Years active,Constituency,Political party,Citizenship,Organization,Patron(s),Genre,Age_Cleaned,Is_Dead,Is_Indian,Award_Group,Occupation_Grouped
24,Balan Nambiar,1937,,0," (1937-11-12) 12 November 1937 (age 83)Kannapuram, Madras Presidency, British India",," sculptor, painter and research scholar",https://en.wikipedia.org/wiki/Balan_Nambiar,Indian,,"Paintings, sculptures, researches on ritual art",,"Valampiri Shanka, The Sky is the Limit","India National award for sculpture, Nehru fellowship for research",,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,Alive,India,Other,"Paintings, sculptures, researches on ritual art"
25,Bapu (director),1933,2014,81,"Sattiraju Lakshminarayana(1933-12-15)15 December 1933Narasapuram, Madras Presidency, British India(now in Andhra Pradesh, India)","31 August 2014(2014-08-31) (aged 80)Chennai, Tamil Nadu, India", painter,https://en.wikipedia.org/wiki/Bapu_(director),,,,Bhagyavathi,,Padma Shri (2013),,,,,,,,,,,,,,,,University of Madras,bapuartcollection.com,,,,,,,,,,,,81,Dead,Other/Mixed,Padma Recipient, painter
26,Bharti Kher,1969,,0,"1969 (age 51–52)London, England",," painter, sculptor and installation artist",https://en.wikipedia.org/wiki/Bharti_Kher,,Newcastle Polytechnic,,Subodh Gupta,,,,,,,,,,,,,,,,,,,bhartikher.com,,,,,,,,,,,,52,Alive,Other/Mixed,Other," painter, sculptor and installation artist"
27,Bhavna Mehta,1968,,0,,, paper-cut artist,https://en.wikipedia.org/wiki/Bhavna_Mehta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Alive,Other/Mixed,Other, paper-cut artist
28,Bholekar Srihari,1941,2018,77,"Srihari Bollakpalli1 January 1941Bollakpalli, Banswada, Telangana, India","23 August 2018Hyderabad, India"," painter, sculptor and printmaker",https://en.wikipedia.org/wiki/Bholekar_Srihari,Indian,"1961 Diploma in Drawing and Painting from Sir J.J School of Arts, Bombay
              1969 B.A from Osmania University","Painting, sculpture, print-making, murals",Laxmi Bholekar,,National Award (Lalit Kala Akademi Award),1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Dead,India,Other,"Painting, sculpture, print-making, murals"
29,Bhupen Khakkar,1934,2003,69,"Bhupen Khakhar(1934-03-10)10 March 1934Bombay, India",8 August 2003(2003-08-08) (aged 69)Baroda, painter,https://en.wikipedia.org/wiki/Bhupen_Khakkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,Dead,Other/Mixed,Other, painter
30,Bhuri Bai,1968,,0,"Pitol, Jhabua, Madhya Pradesh",, Bhil artist,https://en.wikipedia.org/wiki/Bhuri_Bai,Indian,,,,,,,,,,,,,,,,,,,,,,,,Bhil art,"Shikhar Samman, Madhya Pradesh",,,,,,,,,53,Alive,India,Other, Bhil artist
31,Bijan Choudhury,1931,2012,81,,, painter,https://en.wikipedia.org/wiki/Bijan_Choudhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Dead,Other/Mixed,Other, painter
32,Bikash Bhattacharjee,1940,2006,66,(1940-06-21)21 June 1940Kolkata,18 December 2006(2006-12-18) (aged 66)Kolkata,,https://en.wikipedia.org/wiki/Bikash_Bhattacharjee,Indian,Indian College of Art and Draftsmanship,Painting,,Fantasy Show Doll SeriesCupboardThe VisitorThe Trap,"Padma Shri (1988)  National Award, (1971)","Realism, surrealism",,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Dead,India,Padma Recipient,Painting
33,Daku (artist),,,0,,,,https://en.wikipedia.org/wiki/Daku_(artist),,,GraffitiStreet artSocial commentary,,,,,,,,,,,,,,,,,,,,www.daku156.com,,,,,,,,,,,,,Alive,Other/Mixed,Other,GraffitiStreet artSocial commentary
